State,Account Length,Area Code,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,Intl Mins,Intl Calls,CustServ Calls,Churn?
KS,Long,415,no,yes,Middle(13->23),200->300,100->150,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
OH,Middle_Length,415,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
NJ,Long,415,no,no,None,200->300,100->150,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
OH,Middle_Length,408,yes,no,None,200->300,50->100,0->100,50->100,100->200,50->100,0->100,5->10,0->5,False.
OK,Short,415,yes,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
AL,Long,510,yes,no,None,200->300,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
MA,Long,510,no,yes,Middle(13->23),200->300,50->100,300->400,100->150,200->300,100->150,0->100,5->10,0->5,False.
MO,Long,415,yes,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
LA,Long,408,no,no,None,100->200,50->100,300->400,50->100,200->300,50->100,0->100,0->5,0->5,False.
WV,Long,415,yes,yes,Middle(13->23),200->300,50->100,200->300,100->150,300->400,50->100,0->100,5->10,0->5,False.
IN,Short,415,no,no,None,100->200,100->150,200->300,50->100,200->300,100->150,0->100,5->10,0->5,True.
RI,Short,415,no,no,None,100->200,100->150,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
IA,Long,408,no,no,None,100->200,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
MT,Middle_Length,510,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,5->10,0->5,False.
IA,Short,415,no,no,None,100->200,50->100,300->400,50->100,200->300,50->100,0->100,5->10,0->5,False.
NY,Long,415,no,no,None,300->400,50->100,300->400,50->100,100->200,100->150,0->100,5->10,0->5,True.
ID,Middle_Length,408,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,0->100,50->100,0->100,0->5,0->5,False.
VT,Middle_Length,510,no,no,None,100->200,100->150,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
VA,Short,510,no,yes,Middle(13->23),100->200,50->100,200->300,50->100,100->200,100->150,0->100,5->10,0->5,False.
TX,Short,415,no,no,None,200->300,50->100,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
FL,Long,415,no,no,None,100->200,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
CO,Short,408,no,no,None,0->100,50->100,100->200,100->150,200->300,50->100,0->100,5->10,5->10,True.
AZ,Long,415,no,no,None,100->200,100->150,0->100,50->100,100->200,50->100,0->100,15->20,0->5,False.
SC,Middle_Length,415,no,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
VA,Long,510,no,no,None,0->100,50->100,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
NE,Long,415,no,no,None,100->200,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
WY,Short,408,no,yes,Middle(13->23),200->300,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
MT,Short,408,no,no,None,100->200,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
MO,Short,415,no,no,None,100->200,100->150,200->300,50->100,100->200,100->150,0->100,5->10,0->5,False.
HI,Short,510,no,no,None,100->200,100->150,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
IL,Long,415,no,no,None,0->100,50->100,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
NH,Short,510,no,no,None,200->300,100->150,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
LA,Long,408,no,no,None,200->300,100->150,0->100,100->150,200->300,50->100,0->100,10->15,0->5,False.
AZ,Short,408,no,no,None,200->300,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,True.
OK,Short,408,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
GA,Short,415,no,yes,Middle(13->23),200->300,50->100,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
AK,Short,408,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,100->200,100->150,0->100,5->10,0->5,False.
MA,Short,415,no,no,None,100->200,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
AK,Long,415,yes,yes,Middle(13->23),200->300,100->150,100->200,50->100,100->200,100->150,0->100,5->10,0->5,False.
NJ,Long,408,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,5->10,0->5,False.
GA,Middle_Length,408,no,no,None,100->200,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
MD,Long,408,yes,yes,Large(23->51),100->200,50->100,200->300,100->150,100->200,50->100,0->100,15->20,0->5,True.
AR,Short,510,no,no,None,100->200,50->100,200->300,50->100,300->400,50->100,0->100,0->5,0->5,False.
ID,Long,415,no,no,None,0->100,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
